date,data
1985-01-01,2.57
1985-02-01,2.86
1985-03-01,2.95
1985-04-01,2.0
1985-05-01,2.39
1985-06-01,3.81
1985-07-01,3.11
1985-08-01,1.83
1985-09-01,2.49
1985-10-01,2.82
1985-11-01,2.43
1985-12-01,2.28
1986-01-01,3.38
1986-02-01,2.3
1986-03-01,2.43
1986-04-01,4.08
1986-05-01,2.92
1986-06-01,2.33
1986-07-01,2.26
1986-08-01,2.52
1986-09-01,2.99
1986-10-01,2.52
1986-11-01,2.8
1986-12-01,2.24
1987-01-01,2.42
1987-02-01,2.57
1987-03-01,2.28
1987-04-01,2.87
1987-05-01,2.52
1987-06-01,2.37
1987-07-01,2.53
1987-08-01,2.76
1987-09-01,3.14
1987-10-01,2.59
1987-11-01,2.52
1987-12-01,2.95
1988-01-01,2.06
1988-02-01,2.15
1988-03-01,2.81
1988-04-01,3.09
1988-05-01,2.65
1988-06-01,1.95
1988-07-01,2.11
1988-08-01,2.13
1988-09-01,1.93
1988-10-01,1.86
1988-11-01,1.73
1988-12-01,2.37
1989-01-01,2.16
1989-02-01,2.21
1989-03-01,1.95
1989-04-01,1.96
1989-05-01,2.53
1989-06-01,2.16
1989-07-01,1.95
1989-08-01,2.73
1989-09-01,2.08
1989-10-01,1.66
1989-11-01,2.36
1989-12-01,2.79
1990-01-01,1.92
1990-02-01,1.92
1990-03-01,1.6
1990-04-01,1.96
1990-05-01,2.11
1990-06-01,1.99
1990-07-01,2.0
1990-08-01,6.41
1990-09-01,4.95
1990-10-01,3.6
1990-11-01,4.11
1990-12-01,3.98
1991-01-01,9.6
1991-02-01,8.5
1991-03-01,3.82
1991-04-01,2.41
1991-05-01,2.11
1991-06-01,2.14
1991-07-01,2.66
1991-08-01,2.53
1991-09-01,2.71
1991-10-01,2.33
1991-11-01,2.3
1991-12-01,2.53
1992-01-01,2.36
1992-02-01,2.11
1992-03-01,1.98
1992-04-01,1.99
1992-05-01,1.83
1992-06-01,2.21
1992-07-01,1.74
1992-08-01,1.82
1992-09-01,1.7
1992-10-01,1.48
1992-11-01,2.07
1992-12-01,1.99
1993-01-01,2.84
1993-02-01,1.95
1993-03-01,2.16
1993-04-01,2.44
1993-05-01,2.51
1993-06-01,2.27
1993-07-01,2.62
1993-08-01,2.12
1993-09-01,1.9
1993-10-01,2.32
1993-11-01,1.78
1993-12-01,1.72
1994-01-01,1.84
1994-02-01,2.65
1994-03-01,2.0
1994-04-01,2.18
1994-05-01,2.36
1994-06-01,2.76
1994-07-01,2.28
1994-08-01,2.13
1994-09-01,2.32
1994-10-01,2.16
1994-11-01,1.92
1994-12-01,2.1
1995-01-01,1.67
1995-02-01,1.59
1995-03-01,1.74
1995-04-01,2.2
1995-05-01,1.99
1995-06-01,2.13
1995-07-01,2.28
1995-08-01,2.38
1995-09-01,1.45
1995-10-01,1.38
1995-11-01,1.55
1995-12-01,1.41
1996-01-01,1.47
1996-02-01,1.65
1996-03-01,1.72
1996-04-01,1.78
1996-05-01,1.32
1996-06-01,1.31
1996-07-01,1.6
1996-08-01,1.6
1996-09-01,2.02
1996-10-01,1.07
1996-11-01,1.09
1996-12-01,1.51
1997-01-01,0.97
1997-02-01,1.05
1997-03-01,1.15
1997-04-01,1.3
1997-05-01,1.1
1997-06-01,0.75
1997-07-01,0.91
1997-08-01,1.05
1997-09-01,0.86
1997-10-01,1.07
1997-11-01,1.49
1997-12-01,0.95
1998-01-01,1.11
1998-02-01,1.84
1998-03-01,1.25
1998-04-01,1.07
1998-05-01,1.96
1998-06-01,1.58
1998-07-01,1.15
1998-08-01,2.23
1998-09-01,1.42
1998-10-01,1.23
1998-11-01,1.62
1998-12-01,1.78
1999-01-01,1.32
1999-02-01,1.25
1999-03-01,1.93
1999-04-01,2.36
1999-05-01,1.85
1999-06-01,1.63
1999-07-01,1.24
1999-08-01,1.27
1999-09-01,1.4
1999-10-01,1.48
1999-11-01,1.19
1999-12-01,1.83
2000-01-01,1.2
2000-02-01,1.23
2000-03-01,1.01
2000-04-01,1.03
2000-05-01,1.39
2000-06-01,1.27
2000-07-01,0.96
2000-08-01,0.82
2000-09-01,1.1
2000-10-01,1.71
2000-11-01,0.95
2000-12-01,0.98
2001-01-01,1.02
2001-02-01,1.17
2001-03-01,1.19
2001-04-01,1.14
2001-05-01,1.28
2001-06-01,1.51
2001-07-01,1.32
2001-08-01,1.35
2001-09-01,13.23
2001-10-01,13.1
2001-11-01,7.89
2001-12-01,6.05
2002-01-01,4.23
2002-02-01,3.62
2002-03-01,3.86
2002-04-01,3.84
2002-05-01,4.09
2002-06-01,3.67
2002-07-01,2.95
2002-08-01,3.13
2002-09-01,4.39
2002-10-01,4.16
2002-11-01,3.7
2002-12-01,4.33
2003-01-01,4.97
2003-02-01,5.82
2003-03-01,9.0
2003-04-01,6.59
2003-05-01,4.0
2003-06-01,3.55
2003-07-01,3.41
2003-08-01,3.36
2003-09-01,2.82
2003-10-01,2.64
2003-11-01,2.87
2003-12-01,3.16
2004-01-01,2.69
2004-02-01,2.82
2004-03-01,3.17
2004-04-01,3.55
2004-05-01,2.88
2004-06-01,3.36
2004-07-01,3.18
2004-08-01,3.45
2004-09-01,3.51
2004-10-01,2.94
2004-11-01,2.97
2004-12-01,2.58
2005-01-01,2.46
2005-02-01,2.62
2005-03-01,2.12
2005-04-01,1.94
2005-05-01,2.28
2005-06-01,1.93
2005-07-01,3.49
2005-08-01,2.49
2005-09-01,2.36
2005-10-01,2.01
2005-11-01,1.77
2005-12-01,2.13
2006-01-01,2.19
2006-02-01,2.23
2006-03-01,2.19
2006-04-01,2.04
2006-05-01,2.0
2006-06-01,2.34
2006-07-01,2.98
2006-08-01,3.03
2006-09-01,2.48
2006-10-01,2.59
2006-11-01,1.96
2006-12-01,2.06
2007-01-01,2.37
2007-02-01,2.3
2007-03-01,1.95
2007-04-01,1.77
2007-05-01,1.99
2007-06-01,2.18
2007-07-01,2.39
2007-08-01,1.94
2007-09-01,2.18
2007-10-01,2.35
2007-11-01,1.95
2007-12-01,2.15
2008-01-01,1.84
2008-02-01,1.77
2008-03-01,1.63
2008-04-01,1.63
2008-05-01,1.62
2008-06-01,1.86
2008-07-01,2.04
2008-08-01,1.96
2008-09-01,2.03
2008-10-01,1.38
2008-11-01,1.76
2008-12-01,1.92
2009-01-01,1.77
2009-02-01,1.58
2009-03-01,1.64
2009-04-01,2.0
2009-05-01,2.08
2009-06-01,1.76
2009-07-01,1.93
2009-08-01,1.69
2009-09-01,2.2
2009-10-01,2.11
2009-11-01,1.74
2009-12-01,2.21
2010-01-01,2.06
2010-02-01,1.81
2010-03-01,1.66
2010-04-01,1.97
2010-05-01,2.03
2010-06-01,2.12
2010-07-01,1.62
2010-08-01,1.73
2010-09-01,1.55
2010-10-01,1.43
2010-11-01,2.03
2010-12-01,2.11
2011-01-01,1.53
2011-02-01,1.8
2011-03-01,2.94
2011-04-01,1.92
2011-05-01,2.3
2011-06-01,1.8
2011-07-01,1.57
2011-08-01,1.7
2011-09-01,1.64
2011-10-01,1.53
2011-11-01,1.74
2011-12-01,1.83
2012-01-01,1.78
2012-02-01,1.91
2012-03-01,1.91
2012-04-01,1.97
2012-05-01,1.63
2012-06-01,1.49
2012-07-01,1.7
2012-08-01,1.74
2012-09-01,1.57
2012-10-01,1.56
2012-11-01,1.57
2012-12-01,1.56
2013-01-01,1.76
2013-02-01,1.84
2013-03-01,1.64
2013-04-01,2.22
2013-05-01,1.77
2013-06-01,1.86
2013-07-01,1.43
2013-08-01,2.06
2013-09-01,2.36
2013-10-01,1.57
2013-11-01,1.76
2013-12-01,1.63
2014-01-01,1.7
2014-02-01,1.46
2014-03-01,2.7
2014-04-01,2.11
2014-05-01,1.8
2014-06-01,2.13
2014-07-01,2.92
2014-08-01,2.8
2014-09-01,2.91
2014-10-01,1.77
2014-11-01,1.76
2014-12-01,1.78
2015-01-01,2.1
2015-02-01,2.42
2015-03-01,2.5
2015-04-01,2.44
2015-05-01,1.67
2015-06-01,1.91
2015-07-01,2.45
2015-08-01,1.86
2015-09-01,2.29
2015-10-01,2.04
2015-11-01,3.17
2015-12-01,3.35
2016-01-01,2.51
2016-02-01,2.25
2016-03-01,2.45
2016-04-01,2.01
2016-05-01,1.92
2016-06-01,1.77
2016-07-01,2.46
2016-08-01,2.15
2016-09-01,2.61
2016-10-01,2.0
2016-11-01,1.92
2016-12-01,2.3
2017-01-01,2.57
2017-02-01,3.02
2017-03-01,2.14
2017-04-01,3.08
2017-05-01,2.52
2017-06-01,2.86
2017-07-01,2.62
2017-08-01,3.56
2017-09-01,2.88
2017-10-01,2.1
2017-11-01,2.18
2017-12-01,2.0
2018-01-01,2.2
2018-02-01,1.59
2018-03-01,2.75
2018-04-01,3.36
2018-05-01,3.32
2018-06-01,2.62
2018-07-01,2.69
2018-08-01,2.81
2018-09-01,1.82
2018-10-01,2.39
2018-11-01,1.95
2018-12-01,2.23
2019-01-01,2.25
2019-02-01,2.43
2019-03-01,1.88
2019-04-01,1.94
2019-05-01,2.78
2019-06-01,2.87
2019-07-01,2.38
2019-08-01,2.75
2019-09-01,2.33
2019-10-01,2.47
2019-11-01,1.74
2019-12-01,1.72
2020-01-01,3.62
2020-02-01,1.52
2020-03-01,1.71
2020-04-01,1.53
2020-05-01,1.71
2020-06-01,1.65
2020-07-01,1.54
2020-08-01,1.46
2020-09-01,1.7
2020-10-01,1.66
2020-11-01,1.31
2020-12-01,1.44
2021-01-01,1.93
2021-02-01,1.58
2021-03-01,1.78
2021-04-01,2.03
2021-05-01,2.03
2021-06-01,1.71
2021-07-01,1.3
2021-08-01,2.16
2021-09-01,1.93
2021-10-01,1.68
2021-11-01,1.92
2021-12-01,2.56
2022-01-01,3.36
2022-02-01,4.91
2022-03-01,7.01
2022-04-01,4.02
2022-05-01,3.18
2022-06-01,2.97
2022-07-01,2.61
2022-08-01,3.18
2022-09-01,2.97
2022-10-01,3.48
2022-11-01,2.75
2022-12-01,2.6
2023-01-01,2.42
2023-02-01,3.15
2023-03-01,2.72
